FiscalYear,FiscalQuarter,Department,Branch,BudgetedHeadcount,AllocatedSalaryBudget_EGP,OvertimeAllowance_EGP
2023,Q4,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,80,3608640,181233.14
2023,Q4,تكنولوجيا المعلومات,بورسعيد - الشرق,19,584934,51299.54
2023,Q4,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,62,3087228,168675.34
2023,Q4,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,72,3806136,397443.03
2023,Q4,خدمة العملاء والعمليات المساندة,الإسكندرية - سموحة,73,2772321,264610.65
2023,Q4,خدمة العملاء والعمليات المساندة,لوران,50,1782750,204325.51
2023,Q4,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,70,3039540,314240.0
2023,Q4,خدمة العملاء والعمليات المساندة,الدقي,60,2421540,222851.47
2023,Q4,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,63,2792286,291629.41
2023,Q4,خدمة العملاء والعمليات المساندة,المنصورة,55,2286240,137484.24
2023,Q4,خدمة العملاء والعمليات المساندة,الغربية - طنطا,24,1181592,83569.25
2023,Q4,خدمة العملاء والعمليات المساندة,فرع التجمع,65,1990365,150851.24
2023,Q4,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,34,1735326,169736.99
2023,Q4,خدمة العملاء والعمليات المساندة,فرع المعادي,62,3347628,312650.5
2023,Q4,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,19,872214,102475.53
2023,Q4,خدمة العملاء والعمليات المساندة,بورسعيد - الشرق,33,1183545,92956.61
2023,Q4,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,40,1120800,81503.35
2024,Q1,الإدارة المالية,أسيوط - أسيوط الجديدة,78,3207204,340285.41
2024,Q1,الإدارة المالية,سموحة,24,955152,58997.82
2024,Q1,الإدارة المالية,لوران,15,509265,38976.62
2024,Q1,الإدارة المالية,الجيزة - 6 أكتوبر,34,1132914,97342.31
2024,Q1,الإدارة المالية,الجيزة - الدقي,53,1645968,86711.31
2024,Q1,الإدارة المالية,الجيزة - الشيخ زايد,64,2172672,231327.67
2024,Q1,الإدارة المالية,المنصورة,20,558360,38056.4
2024,Q1,الإدارة المالية,الغربية - طنطا,58,2318028,218061.71
2024,Q1,الإدارة المالية,فرع التجمع,58,2832720,274182.58
2024,Q1,الإدارة المالية,القاهرة - القرية الذكية,18,692550,61593.7
2024,Q1,الإدارة المالية,فرع المعادي,76,2453964,260765.45
2024,Q1,الإدارة المالية,القاهرة - مصر الجديدة,69,3509685,237966.27
2024,Q1,الإدارة المالية,بورسعيد - الشرق,47,1997124,127199.04
2024,Q1,الإدارة المالية,دمياط - دمياط الجديدة,33,1029501,84342.28
2024,Q1,التسويق والمبيعات,أسيوط - أسيوط الجديدة,59,3024930,296139.58
2024,Q1,التسويق والمبيعات,الإسكندرية - سموحة,26,1006824,86977.3
2024,Q1,التسويق والمبيعات,لوران,79,3213483,349889.96
2024,Q1,التسويق والمبيعات,الجيزة - 6 أكتوبر,63,2753541,304577.34
2024,Q1,التسويق والمبيعات,الدقي,79,4070949,295361.49
2024,Q1,التسويق والمبيعات,الجيزة - الشيخ زايد,67,2799126,312145.89
2024,Q1,التسويق والمبيعات,الدقهلية - المنصورة,44,1359732,74301.02
2024,Q1,التسويق والمبيعات,الغربية - طنطا,31,1668141,101826.62
2024,Q1,التسويق والمبيعات,فرع التجمع,16,560256,37828.68
2024,Q1,التسويق والمبيعات,القاهرة - القرية الذكية,64,3409152,178370.34
2024,Q1,التسويق والمبيعات,المعادي,75,3974175,375344.11
2024,Q1,التسويق والمبيعات,القاهرة - مصر الجديدة,73,2437470,231584.8
2024,Q1,التسويق والمبيعات,الشرق,43,1233498,86821.54
2024,Q1,التسويق والمبيعات,دمياط - دمياط الجديدة,59,1704333,175779.42
2024,Q1,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,75,2078100,129456.17
2024,Q1,العمليات وسلاسل الإمداد,سموحة,55,1501665,166363.6
2024,Q1,العمليات وسلاسل الإمداد,الإسكندرية - لوران,26,928512,77825.42
2024,Q1,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,58,1583748,150323.67
2024,Q1,العمليات وسلاسل الإمداد,الدقي,16,604224,55653.65
2024,Q1,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,35,1818180,105244.94
2024,Q1,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,37,1683870,166076.42
2024,Q1,العمليات وسلاسل الإمداد,الغربية - طنطا,19,662967,55713.17
2024,Q1,العمليات وسلاسل الإمداد,القاهرة - التجمع الخامس,72,2140776,255495.01
2024,Q1,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,80,3918480,300999.53
2024,Q1,العمليات وسلاسل الإمداد,القاهرة - المعادي,56,2130744,225862.39
2024,Q1,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,66,2866050,341057.0
2024,Q1,العمليات وسلاسل الإمداد,بورسعيد - الشرق,54,1562814,155746.52
2024,Q1,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,44,2346696,231569.3
2024,Q1,الموارد البشرية,أسيوط - أسيوط الجديدة,17,913461,64279.03
2024,Q1,الموارد البشرية,سموحة,66,2423916,127577.14
2024,Q1,الموارد البشرية,لوران,21,1002456,63357.44
2024,Q1,الموارد البشرية,الجيزة - 6 أكتوبر,18,869022,86161.69
2024,Q1,الموارد البشرية,فرع الدقي,21,614376,39879.54
2024,Q1,الموارد البشرية,الجيزة - الشيخ زايد,21,1095003,116552.28
2024,Q1,الموارد البشرية,الدقهلية - المنصورة,43,2204223,112557.35
2024,Q1,الموارد البشرية,الغربية - طنطا,23,935502,64473.13
2024,Q1,الموارد البشرية,القاهرة - التجمع الخامس,59,1623267,141557.3
2024,Q1,الموارد البشرية,القاهرة - القرية الذكية,38,1032840,64627.82
2024,Q1,الموارد البشرية,القاهرة - المعادي,27,1127925,87292.77
2024,Q1,الموارد البشرية,القاهرة - مصر الجديدة,54,2530278,281649.11
2024,Q1,الموارد البشرية,بورسعيد - الشرق,23,1149747,97205.2
2024,Q1,الموارد البشرية,دمياط - دمياط الجديدة,60,3215700,287724.37
2024,Q1,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,65,3167970,207044.03
2024,Q1,تكنولوجيا المعلومات,الاسكندرية سموحة,26,728910,43513.1
2024,Q1,تكنولوجيا المعلومات,الإسكندرية - لوران,21,1050336,103799.29
2024,Q1,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,50,2530500,199187.75
2024,Q1,تكنولوجيا المعلومات,الدقي,49,1578633,188548.51
2024,Q1,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,27,1130679,130620.72
2024,Q1,تكنولوجيا المعلومات,الدقهلية - المنصورة,34,1739100,123275.36
2024,Q1,تكنولوجيا المعلومات,الغربية - طنطا,25,1349325,82127.83
2024,Q1,تكنولوجيا المعلومات,فرع التجمع,28,1111572,82047.23
2024,Q1,تكنولوجيا المعلومات,القاهرة - القرية الذكية,77,3330558,281184.11
2024,Q1,تكنولوجيا المعلومات,القاهرة - المعادي,72,3103704,262521.67
2024,Q1,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,79,2600364,198065.18
2024,Q1,تكنولوجيا المعلومات,الشرق,36,1705968,164875.16
2024,Q1,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,54,1656288,106265.08
2024,Q1,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,68,3199128,167293.94
2024,Q1,خدمة العملاء والعمليات المساندة,سموحة,67,3225648,350836.93
2024,Q1,خدمة العملاء والعمليات المساندة,الإسكندرية - لوران,34,1489812,113788.62
2024,Q1,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,38,1082430,127627.01
2024,Q1,خدمة العملاء والعمليات المساندة,الجيزة - الدقي,41,1398264,150354.95
2024,Q1,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,62,3089832,262940.35
2024,Q1,خدمة العملاء والعمليات المساندة,الدقهلية - المنصورة,70,1916250,178597.94
2024,Q1,خدمة العملاء والعمليات المساندة,الغربية - طنطا,53,1483311,104408.83
2024,Q1,خدمة العملاء والعمليات المساندة,التجمع,32,1395072,145701.24
2024,Q1,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,79,2192250,232174.13
2024,Q1,خدمة العملاء والعمليات المساندة,فرع المعادي,46,1883286,125603.45
2024,Q1,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,42,1843380,149832.4
2024,Q1,خدمة العملاء والعمليات المساندة,الشرق,21,1107918,124350.03
2024,Q1,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,26,753324,39852.45
2024,Q2,الإدارة المالية,أسيوط - أسيوط الجديدة,79,3718293,232776.19
2024,Q2,الإدارة المالية,سموحة,70,2866920,246540.48
2024,Q2,الإدارة المالية,لوران,32,1000224,67402.93
2024,Q2,الإدارة المالية,الجيزة - 6 أكتوبر,26,878514,48090.06
2024,Q2,الإدارة المالية,الجيزة - الدقي,73,2709906,219544.32
2024,Q2,الإدارة المالية,الجيزة - الشيخ زايد,75,3087450,285105.15
2024,Q2,الإدارة المالية,المنصورة,52,2247024,140599.09
2024,Q2,الإدارة المالية,الغربية - طنطا,55,1979505,168420.01
2024,Q2,الإدارة المالية,القاهرة - التجمع الخامس,56,2282448,158890.62
2024,Q2,الإدارة المالية,القاهرة - القرية الذكية,20,833340,93501.24
2024,Q2,الإدارة المالية,القاهرة - المعادي,66,3176514,229773.9
2024,Q2,الإدارة المالية,القاهرة - مصر الجديدة,54,1742958,147312.47
2024,Q2,الإدارة المالية,الشرق,29,1503273,102182.33
2024,Q2,الإدارة المالية,دمياط - دمياط الجديدة,63,1822527,124968.4
2024,Q2,التسويق والمبيعات,أسيوط - أسيوط الجديدة,38,1104204,74298.98
2024,Q2,التسويق والمبيعات,الإسكندرية - سموحة,18,784404,88442.62
2024,Q2,التسويق والمبيعات,لوران,64,2271552,222381.02
2024,Q2,التسويق والمبيعات,الجيزة - 6 أكتوبر,75,3012300,281590.93
2024,Q2,التسويق والمبيعات,الجيزة - الدقي,28,1440012,111059.34
2024,Q2,التسويق والمبيعات,الجيزة - الشيخ زايد,42,1289736,119554.12
2024,Q2,التسويق والمبيعات,المنصورة,80,3619920,254897.71
2024,Q2,التسويق والمبيعات,الغربية - طنطا,55,1526580,171586.48
2024,Q2,التسويق والمبيعات,فرع التجمع,45,1745280,183988.97
2024,Q2,التسويق والمبيعات,القاهرة - القرية الذكية,58,3063444,196612.25
2024,Q2,التسويق والمبيعات,القاهرة - المعادي,64,2030208,216390.93
2024,Q2,التسويق والمبيعات,القاهرة - مصر الجديدة,66,2124144,236666.54
2024,Q2,التسويق والمبيعات,بورسعيد - الشرق,24,715752,63324.03
2024,Q2,التسويق والمبيعات,دمياط - دمياط الجديدة,26,867516,91475.9
2024,Q2,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,33,1739529,112352.51
2024,Q2,العمليات وسلاسل الإمداد,الإسكندرية - سموحة,76,3152784,195074.27
2024,Q2,العمليات وسلاسل الإمداد,لوران,40,2080440,148584.12
2024,Q2,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,77,3346959,202683.02
2024,Q2,العمليات وسلاسل الإمداد,الجيزة - الدقي,65,2144220,133591.16
2024,Q2,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,78,4147416,337000.41
2024,Q2,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,16,439776,33494.94
2024,Q2,العمليات وسلاسل الإمداد,الغربية - طنطا,49,2423589,259510.77
2024,Q2,العمليات وسلاسل الإمداد,التجمع,26,1009242,52608.26
2024,Q2,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,34,1027446,54662.83
2024,Q2,العمليات وسلاسل الإمداد,فرع المعادي,34,1607316,140020.31
2024,Q2,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,64,2349120,152530.63
2024,Q2,العمليات وسلاسل الإمداد,بورسعيد - الشرق,52,1572480,163002.75
2024,Q2,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,69,1934829,185353.06
2024,Q2,الموارد البشرية,أسيوط - أسيوط الجديدة,61,2230770,150073.91
2024,Q2,الموارد البشرية,سموحة,64,2899584,162640.22
2024,Q2,الموارد البشرية,الإسكندرية - لوران,79,2313357,146174.99
2024,Q2,الموارد البشرية,الجيزة - 6 أكتوبر,38,1178646,66912.13
2024,Q2,الموارد البشرية,الدقي,24,927144,73794.94
2024,Q2,الموارد البشرية,الجيزة - الشيخ زايد,70,2498580,144881.64
2024,Q2,الموارد البشرية,المنصورة,73,3644598,208807.26
2024,Q2,الموارد البشرية,الغربية - طنطا,59,3150954,364149.75
2024,Q2,الموارد البشرية,القاهرة - التجمع الخامس,35,1150485,105408.26
2024,Q2,الموارد البشرية,القاهرة - القرية الذكية,75,3351375,283680.78
2024,Q2,الموارد البشرية,المعادي,42,1728972,107392.51
2024,Q2,الموارد البشرية,القاهرة - مصر الجديدة,64,2588544,256270.27
2024,Q2,الموارد البشرية,الشرق,62,3012642,178628.75
2024,Q2,الموارد البشرية,دمياط - دمياط الجديدة,46,1366338,77198.12
2024,Q2,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,35,955710,80474.49
2024,Q2,تكنولوجيا المعلومات,سموحة,62,1890504,110468.29
2024,Q2,تكنولوجيا المعلومات,لوران,51,2376243,127506.78
2024,Q2,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,70,2586780,147757.23
2024,Q2,تكنولوجيا المعلومات,الجيزة - الدقي,28,971628,79076.59
2024,Q2,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,61,2473794,152095.43
2024,Q2,تكنولوجيا المعلومات,المنصورة,41,1778826,172764.77
2024,Q2,تكنولوجيا المعلومات,الغربية - طنطا,74,3773334,333376.46
2024,Q2,تكنولوجيا المعلومات,القاهرة - التجمع الخامس,49,1324617,135801.23
2024,Q2,تكنولوجيا المعلومات,القاهرة - القرية الذكية,16,602304,64377.96
2024,Q2,تكنولوجيا المعلومات,المعادي,24,1195272,116055.85
2024,Q2,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,80,4202640,430903.52
2024,Q2,تكنولوجيا المعلومات,بورسعيد - الشرق,51,2210544,227847.74
2024,Q2,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,31,1020582,77214.35
2024,Q2,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,18,839484,92760.02
2024,Q2,خدمة العملاء والعمليات المساندة,الإسكندرية - سموحة,35,1150800,100369.53
2024,Q2,خدمة العملاء والعمليات المساندة,لوران,54,2285982,191546.44
2024,Q2,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,61,1955904,209588.09
2024,Q2,خدمة العملاء والعمليات المساندة,الجيزة - الدقي,48,1713600,186342.98
2024,Q2,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,51,2537352,163847.74
2024,Q2,خدمة العملاء والعمليات المساندة,المنصورة,45,1738935,172109.76
2024,Q2,خدمة العملاء والعمليات المساندة,الغربية - طنطا,77,3947328,287963.55
2024,Q2,خدمة العملاء والعمليات المساندة,فرع التجمع,77,2865786,203441.21
2024,Q2,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,64,2155392,207079.15
2024,Q2,خدمة العملاء والعمليات المساندة,القاهرة - المعادي,44,1592052,142991.98
2024,Q2,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,18,823662,69644.98
2024,Q2,خدمة العملاء والعمليات المساندة,الشرق,41,1166901,117192.13
2024,Q2,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,56,2687664,137854.17
2024,Q3,الإدارة المالية,أسيوط - أسيوط الجديدة,45,1234575,122138.76
2024,Q3,الإدارة المالية,سموحة,60,1753740,184449.42
2024,Q3,الإدارة المالية,الإسكندرية - لوران,72,3310632,210703.81
2024,Q3,الإدارة المالية,الجيزة - 6 أكتوبر,67,3072888,164525.85
2024,Q3,الإدارة المالية,فرع الدقي,37,1813740,179644.51
2024,Q3,الإدارة المالية,الجيزة - الشيخ زايد,21,1029231,111875.96
2024,Q3,الإدارة المالية,الدقهلية - المنصورة,35,1145865,111288.45
2024,Q3,الإدارة المالية,الغربية - طنطا,35,1862175,163228.02
2024,Q3,الإدارة المالية,القاهرة - التجمع الخامس,69,2809818,229944.1
2024,Q3,الإدارة المالية,القاهرة - القرية الذكية,57,1877922,118929.28
2024,Q3,الإدارة المالية,المعادي,28,978516,87030.12
2024,Q3,الإدارة المالية,القاهرة - مصر الجديدة,67,2962338,264438.8
2024,Q3,الإدارة المالية,الشرق,42,2100924,162443.2
2024,Q3,الإدارة المالية,دمياط - دمياط الجديدة,15,573975,56822.79
2024,Q3,التسويق والمبيعات,أسيوط - أسيوط الجديدة,18,835920,51681.95
2024,Q3,التسويق والمبيعات,الاسكندرية سموحة,60,2275020,229004.44
2024,Q3,التسويق والمبيعات,الإسكندرية - لوران,54,2094336,183442.7
2024,Q3,التسويق والمبيعات,الجيزة - 6 أكتوبر,63,3141369,326956.25
2024,Q3,التسويق والمبيعات,فرع الدقي,32,1512000,79549.42
2024,Q3,التسويق والمبيعات,الجيزة - الشيخ زايد,40,1376040,87502.06
2024,Q3,التسويق والمبيعات,المنصورة,55,2360985,267932.52
2024,Q3,التسويق والمبيعات,الغربية - طنطا,23,951786,52024.66
2024,Q3,التسويق والمبيعات,فرع التجمع,56,2080344,242295.21
2024,Q3,التسويق والمبيعات,القاهرة - القرية الذكية,46,2111676,249401.05
2024,Q3,التسويق والمبيعات,القاهرة - المعادي,43,2317227,141813.95
2024,Q3,التسويق والمبيعات,القاهرة - مصر الجديدة,24,681696,53967.15
2024,Q3,التسويق والمبيعات,بورسعيد - الشرق,31,995565,105319.8
2024,Q3,التسويق والمبيعات,دمياط - دمياط الجديدة,54,2717550,284062.13
2024,Q3,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,52,1735032,127993.84
2024,Q3,العمليات وسلاسل الإمداد,الإسكندرية - سموحة,37,1224663,92543.2
2024,Q3,العمليات وسلاسل الإمداد,الإسكندرية - لوران,63,2346624,138070.26
2024,Q3,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,20,882840,75797.21
2024,Q3,العمليات وسلاسل الإمداد,الجيزة - الدقي,61,1686894,137607.67
2024,Q3,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,70,3001950,232765.7
2024,Q3,العمليات وسلاسل الإمداد,الدقهلية - المنصورة,51,2733957,165837.95
2024,Q3,العمليات وسلاسل الإمداد,الغربية - طنطا,54,1826226,91974.07
2024,Q3,العمليات وسلاسل الإمداد,القاهرة - التجمع الخامس,27,828063,79790.83
2024,Q3,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,30,887940,72722.86
2024,Q3,العمليات وسلاسل الإمداد,فرع المعادي,38,1255596,133286.26
2024,Q3,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,78,2163564,140955.57
2024,Q3,العمليات وسلاسل الإمداد,بورسعيد - الشرق,59,2053200,129561.87
2024,Q3,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,79,2685447,172546.37
2024,Q3,الموارد البشرية,أسيوط - أسيوط الجديدة,65,2306070,265523.93
2024,Q3,الموارد البشرية,سموحة,52,2197104,214861.97
2024,Q3,الموارد البشرية,لوران,34,1295808,129381.72
2024,Q3,الموارد البشرية,الجيزة - 6 أكتوبر,36,1029564,93689.32
2024,Q3,الموارد البشرية,الدقي,46,1775646,206958.96
2024,Q3,الموارد البشرية,الجيزة - الشيخ زايد,46,1794414,131210.34
2024,Q3,الموارد البشرية,الدقهلية - المنصورة,41,1747338,185415.52
2024,Q3,الموارد البشرية,الغربية - طنطا,23,1164237,74609.72
2024,Q3,الموارد البشرية,القاهرة - التجمع الخامس,25,1160175,88998.84
2024,Q3,الموارد البشرية,القاهرة - القرية الذكية,25,1060950,124321.03
2024,Q3,الموارد البشرية,القاهرة - المعادي,21,784476,61557.6
2024,Q3,الموارد البشرية,القاهرة - مصر الجديدة,48,2240640,240355.07
2024,Q3,الموارد البشرية,بورسعيد - الشرق,16,649536,71649.37
2024,Q3,الموارد البشرية,دمياط - دمياط الجديدة,37,1563102,105397.56
2024,Q3,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,30,943830,71175.71
2024,Q3,تكنولوجيا المعلومات,الاسكندرية سموحة,52,2609568,171587.3
2024,Q3,تكنولوجيا المعلومات,الإسكندرية - لوران,43,1191315,114490.98
2024,Q3,تكنولوجيا المعلومات,الجيزة - 6 أكتوبر,65,3286140,326638.78
2024,Q3,تكنولوجيا المعلومات,الجيزة - الدقي,64,3362688,289349.63
2024,Q3,تكنولوجيا المعلومات,الجيزة - الشيخ زايد,80,2843760,149781.22
2024,Q3,تكنولوجيا المعلومات,الدقهلية - المنصورة,62,2863842,194403.22
2024,Q3,تكنولوجيا المعلومات,الغربية - طنطا,47,1777023,104491.95
2024,Q3,تكنولوجيا المعلومات,القاهرة - التجمع الخامس,20,1006980,94367.09
2024,Q3,تكنولوجيا المعلومات,القاهرة - القرية الذكية,26,1269372,106331.78
2024,Q3,تكنولوجيا المعلومات,القاهرة - المعادي,77,3978975,476971.38
2024,Q3,تكنولوجيا المعلومات,القاهرة - مصر الجديدة,36,1698732,203675.63
2024,Q3,تكنولوجيا المعلومات,الشرق,58,2241120,178471.05
2024,Q3,تكنولوجيا المعلومات,دمياط - دمياط الجديدة,37,1722720,122104.71
2024,Q3,خدمة العملاء والعمليات المساندة,أسيوط - أسيوط الجديدة,42,2072952,190031.71
2024,Q3,خدمة العملاء والعمليات المساندة,الاسكندرية سموحة,55,1745535,178671.91
2024,Q3,خدمة العملاء والعمليات المساندة,لوران,71,3460398,184572.11
2024,Q3,خدمة العملاء والعمليات المساندة,الجيزة - 6 أكتوبر,53,2506158,241456.37
2024,Q3,خدمة العملاء والعمليات المساندة,فرع الدقي,70,2000460,225327.76
2024,Q3,خدمة العملاء والعمليات المساندة,الجيزة - الشيخ زايد,41,1706010,153960.76
2024,Q3,خدمة العملاء والعمليات المساندة,المنصورة,41,1344513,97005.87
2024,Q3,خدمة العملاء والعمليات المساندة,الغربية - طنطا,28,1086792,96928.59
2024,Q3,خدمة العملاء والعمليات المساندة,فرع التجمع,51,1662651,178800.31
2024,Q3,خدمة العملاء والعمليات المساندة,القاهرة - القرية الذكية,39,1247103,112230.35
2024,Q3,خدمة العملاء والعمليات المساندة,فرع المعادي,72,3578688,229781.04
2024,Q3,خدمة العملاء والعمليات المساندة,القاهرة - مصر الجديدة,36,1284768,132937.0
2024,Q3,خدمة العملاء والعمليات المساندة,بورسعيد - الشرق,20,824520,70574.72
2024,Q3,خدمة العملاء والعمليات المساندة,دمياط - دمياط الجديدة,77,3081309,294102.42
2024,Q4,الإدارة المالية,أسيوط - أسيوط الجديدة,15,657900,45296.05
2024,Q4,الإدارة المالية,سموحة,64,1772160,127220.98
2024,Q4,الإدارة المالية,لوران,56,1870344,114516.8
2024,Q4,الإدارة المالية,الجيزة - 6 أكتوبر,44,2180904,124376.02
2024,Q4,الإدارة المالية,الجيزة - الدقي,21,591003,63765.0
2024,Q4,الإدارة المالية,الجيزة - الشيخ زايد,79,3775173,443910.81
2024,Q4,الإدارة المالية,المنصورة,55,2491665,278761.05
2024,Q4,الإدارة المالية,الغربية - طنطا,25,882300,89813.63
2024,Q4,الإدارة المالية,القاهرة - التجمع الخامس,72,3594672,358367.31
2024,Q4,الإدارة المالية,القاهرة - القرية الذكية,38,1751382,126341.35
2024,Q4,الإدارة المالية,المعادي,41,1538607,175827.75
2024,Q4,الإدارة المالية,القاهرة - مصر الجديدة,80,3035280,258733.36
2024,Q4,الإدارة المالية,الشرق,44,2013924,195333.28
2024,Q4,الإدارة المالية,دمياط - دمياط الجديدة,31,875502,73727.88
2024,Q4,التسويق والمبيعات,أسيوط - أسيوط الجديدة,16,451584,37763.41
2024,Q4,التسويق والمبيعات,الإسكندرية - سموحة,70,3190110,293883.02
2024,Q4,التسويق والمبيعات,الإسكندرية - لوران,50,2699100,178229.36
2024,Q4,التسويق والمبيعات,الجيزة - 6 أكتوبر,36,1425384,89334.34
2024,Q4,التسويق والمبيعات,الدقي,55,1552155,86165.84
2024,Q4,التسويق والمبيعات,الجيزة - الشيخ زايد,73,3939591,324872.58
2024,Q4,التسويق والمبيعات,المنصورة,74,2433342,168419.66
2024,Q4,التسويق والمبيعات,الغربية - طنطا,70,2540370,262819.48
2024,Q4,التسويق والمبيعات,القاهرة - التجمع الخامس,46,2305842,133183.79
2024,Q4,التسويق والمبيعات,القاهرة - القرية الذكية,62,2491098,173744.83
2024,Q4,التسويق والمبيعات,المعادي,50,2525850,289962.37
2024,Q4,التسويق والمبيعات,القاهرة - مصر الجديدة,73,3406545,177290.68
2024,Q4,التسويق والمبيعات,الشرق,70,2886240,220163.19
2024,Q4,التسويق والمبيعات,دمياط - دمياط الجديدة,34,1610376,137781.82
2024,Q4,العمليات وسلاسل الإمداد,أسيوط - أسيوط الجديدة,63,2392551,193246.15
2024,Q4,العمليات وسلاسل الإمداد,الاسكندرية سموحة,62,3122754,161449.04
2024,Q4,العمليات وسلاسل الإمداد,الإسكندرية - لوران,29,786828,39392.72
2024,Q4,العمليات وسلاسل الإمداد,الجيزة - 6 أكتوبر,80,3870000,353124.69
2024,Q4,العمليات وسلاسل الإمداد,فرع الدقي,63,2626344,223588.45
2024,Q4,العمليات وسلاسل الإمداد,الجيزة - الشيخ زايد,75,2714625,215476.01
2024,Q4,العمليات وسلاسل الإمداد,المنصورة,66,1941192,166896.78
2024,Q4,العمليات وسلاسل الإمداد,الغربية - طنطا,21,675108,53645.19
2024,Q4,العمليات وسلاسل الإمداد,القاهرة - التجمع الخامس,25,1021875,73168.97
2024,Q4,العمليات وسلاسل الإمداد,القاهرة - القرية الذكية,47,1834551,127722.7
2024,Q4,العمليات وسلاسل الإمداد,المعادي,23,1182729,81785.76
2024,Q4,العمليات وسلاسل الإمداد,القاهرة - مصر الجديدة,17,858840,92783.77
2024,Q4,العمليات وسلاسل الإمداد,الشرق,39,1663857,117262.62
2024,Q4,العمليات وسلاسل الإمداد,دمياط - دمياط الجديدة,63,2840859,224515.14
2024,Q4,الموارد البشرية,أسيوط - أسيوط الجديدة,62,3169068,366259.73
2024,Q4,الموارد البشرية,الاسكندرية سموحة,57,2530629,203951.08
2024,Q4,الموارد البشرية,لوران,72,3035664,238843.64
2024,Q4,الموارد البشرية,الجيزة - 6 أكتوبر,48,2357856,266504.72
2024,Q4,الموارد البشرية,الدقي,26,1296048,75557.28
2024,Q4,الموارد البشرية,الجيزة - الشيخ زايد,62,3022872,281024.22
2024,Q4,الموارد البشرية,المنصورة,49,1673742,185490.61
2024,Q4,الموارد البشرية,الغربية - طنطا,55,1636965,83499.33
2024,Q4,الموارد البشرية,القاهرة - التجمع الخامس,41,1681656,104952.24
2024,Q4,الموارد البشرية,القاهرة - القرية الذكية,65,2300415,268839.21
2024,Q4,الموارد البشرية,القاهرة - المعادي,25,1194300,69050.16
2024,Q4,الموارد البشرية,القاهرة - مصر الجديدة,60,2064600,178225.82
2024,Q4,الموارد البشرية,الشرق,56,1955688,133344.56
2024,Q4,الموارد البشرية,دمياط - دمياط الجديدة,64,2764608,258694.24
2024,Q4,تكنولوجيا المعلومات,أسيوط - أسيوط الجديدة,55,1725240,167718.77
2024,Q4,تكنولوجيا المعلومات,الاسكندرية سموحة,41,1354845,68058.0
2024,Q4,تكنولوجيا المعلومات,الإسكندرية - لوران,20,562500,64282.79
